original_title,adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,Gross Revenue,Unnamed: 2
Flashdance,FALSE,,4000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",,535,tt0085549,en,The popular 1980’s dance movie that depicts the life of an exotic dancer with a side job as a welder who true desire is to get into ballet school. It’s her dream to be a professional dancer and now is her chance. The film has a great soundtrack with an Oscar winning song.,9.888958,/pW8tRnHJbZfobnEX16CjkOg8bAH.jpg,"[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/14/1983,92921203,95,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'pt', 'name': 'Português'}]",Released,When the dancer becomes the dance.,Flashdance,FALSE,6.1,313,$72.00 ,
Frantz,FALSE,,0,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,377263,tt5029608,fr,"In the aftermath of WWI, a young German who grieves the death of her fiancé in France meets a mysterious French man who visits the fiance’s grave to lay flowers.",9.098394,/qqEci86RyvSODj8XcyXWmceXXID.jpg,"[{'name': 'X-Filme Creative Pool', 'id': 1972}, {'name': 'Mars Distribution', 'id': 2908}, {'name': 'Mandarin Cinéma', 'id': 57294}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'FR', 'name': 'France'}]",9/7/2016,880474,113,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Frantz,FALSE,7.5,168,$879.50 ,
Gattaca,FALSE,,36000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",,782,tt0119177,en,"Science fiction drama about a future society in the era of indefinite eugenics where humans are set on a life course depending on their DNA. The young Vincent Freeman is born with a condition that would prevent him from space travel, yet he is determined to infiltrate the GATTACA space program.",12.89312,/gPYtuvhQvP7v5F1Tqt2iQWR3Y7i.jpg,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Jersey Films', 'id': 216}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9/7/1997,12532777,106,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'eo', 'name': 'Esperanto'}]",Released,There is no gene for the human spirit.,Gattaca,FALSE,7.5,1846,$989.00 ,
Get Out,FALSE,,5000000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",http://www.getoutfilm.com/,419430,tt5052448,en,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",36.894806,/1SwAVYpuLj8KsHxllTF8Dt9dSSX.jpg,"[{'name': 'Blumhouse Productions', 'id': 3172}, {'name': 'QC Entertainment', 'id': 72725}, {'name': 'Monkeypaw Productions', 'id': 88934}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2/24/2017,252434250,104,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Just because you're invited, doesn't mean you're welcome.",Get Out,FALSE,7.2,2978,$672.00 ,
Get Out,FALSE,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}]",,130627,tt2095646,en,A doctor unrelentingly tries to convince a phobic guy to come out of his isolation room.,0.147059,/nzqQaEhuWcriHP6YLY4uPdX02Th.jpg,[],"[{'iso_3166_1': 'FR', 'name': 'France'}]",2/1/2010,0,7,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Get Out,FALSE,4.5,4,$672.00 ,
Gimme Danger,FALSE,,0,"[{'id': 99, 'name': 'Documentary'}]",http://www.gimmedangerfilm.com/,392820,tt1714917,en,"No other band in rock'n'roll history has rivaled The Stooges' combination of heavy primal throb, spiked psychedelia, blues-a-billy grind, complete with succinct angst-ridden lyrics, and a snarling, preening leopard of a frontman who somehow embodies Nijinsky, Bruce Lee, Harpo Marx, and Arthur Rimbaud all rolled into one. There is no precedent for The Stooges, while those inspired by them are now legion.  The film will present the context of their emergence musically, culturally, politically, historically, and relate their adventures and misadventures while charting their inspirations and the reasons behind their initial commercial challenges, as well as their long-lasting legacy.",3.458259,/lD14vyfCHHOwKOMtd0vBlzaySzU.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10/28/2016,0,108,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Gimme Danger,FALSE,7.2,28,$776.00 ,
Girlhood,FALSE,,0,"[{'id': 99, 'name': 'Documentary'}]",,51707,tt0368745,en,Documentary chronicling America's justice system. Follows two female inmates - victims of horrific violence and tragedy - who are serving time in a Maryland juvenile detention center.,0.190009,/6K8a7wS5LaJRUWZ2VsJxysnzI1S.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10/13/2003,0,82,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Girlhood,FALSE,7.4,5,$148.25 ,
Grease,FALSE,"{'id': 86083, 'name': 'Grease Collection', 'poster_path': '/rYy6EBjcCh9jwcfxhyUZFLFiG84.jpg', 'backdrop_path': '/95ASlSlkBSILVLrZA69P0OdniP5.jpg'}",6000000,"[{'id': 10749, 'name': 'Romance'}]",,621,tt0077631,en,"Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?",7.854899,/iMHdFTrCYhue74sBnXkdO39AJ3R.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Robert Stigwood Organization (RSO)', 'id': 3978}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7/7/1978,181813770,110,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Grease is the word,Grease,FALSE,7.2,1633,$500.00 ,
Gremlins,FALSE,"{'id': 89151, 'name': 'The Gremlins Collection', 'poster_path': '/yiZ18XZHFNjFfEDnEkFCrHVHXcn.jpg', 'backdrop_path': '/2Oz7EyiM9nNeP7appRFkMZNeYRo.jpg'}",11000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",,927,tt0087363,en,"When Billy Peltzer is given a strange but adorable pet named Gizmo for Christmas, he inadvertently breaks the three important rules of caring for a Mogwai, and unleashes a horde of mischievous gremlins on a small town.",11.333125,/gXDHxQ92qyF6LUYwn6xuK2L8TYW.jpg,"[{'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6/7/1984,153083102,106,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,"Don't get him wet, keep him out of bright light, and never feed him after midnight.",Gremlins,FALSE,6.9,1629,$312.00 ,
Groundhog Day,FALSE,,14600000,"[{'id': 10749, 'name': 'Romance'}, {'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",,137,tt0107048,en,"A narcissistic TV weatherman, along with his attractive-but-distant producer and mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.",12.989627,/vXjVd0Vu0MXRZnga7wEnHIIhO5B.jpg,"[{'name': 'Columbia Pictures', 'id': 5}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2/11/1993,70906973,101,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,"He's having the worst day of his life... over, and over...",Groundhog Day,FALSE,7.4,2358,$208.00 ,
Harvey,FALSE,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,11787,tt0042546,en,"The classic stage hit gets the Hollywood treatment in the story of Elwood P. Dowd who makes friends with a spirit taking the form of a human-sized rabbit named Harvey that only he sees (and a few privileged others on occasion also.) After his sister tries to commit him to a mental institution, a comedy of errors ensues. Elwood and Harvey become the catalysts for a family mending its wounds and for romance blossoming in unexpected places.",5.306185,/1w1rphQjNFIkGw0mxsBxe2N924C.jpg,"[{'name': 'Universal International Pictures (UI)', 'id': 10330}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10/13/1950,0,104,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Wonderful Pulitzer Prize Play... becomes one of the Great Motion Pictures of our Time!,Harvey,FALSE,7.7,159,$754.00 ,
Harvey,FALSE,,0,"[{'id': 14, 'name': 'Fantasy'}]",,164278,tt0116497,en,"An unlikely hero, Elwood P. Dowd. This mild-mannered-but-eccentric bachelor has, for several years, happily kept company with Harvey, a six-foot-tall rabbit that only he can see. All's well until Elwood's social-climbing sister, Veta, and her teenage daughter, Myrtle Mae, come to live with him and fear his odd behavior will undermine their ambitions. When Elwood disrupts the ladies' first afternoon tea party by introducing wealthy Aunt Ethel Chauvenet to Harvey, Veta sees that something must be done right away. She takes compliant Elwood to the Chumley Rest Home, leaving him in the car while she tells a Dr. Sanderson all about Elwood and Harvey. Sanderson concludes that Veta is the psychotic one and has her carted off to be committed. Meanwhile Elwood is treated with respect and dignity in light of his sister's mental state. When Dr. Chumley, head of the rest home, returns and hears of the case, he draws the opposite conclusion-that Elwood in fact hallucinates.",0.143493,/cqPMFXjtoNbvxvLhxFKn7dZeFB0.jpg,[],[],10/19/1996,0,120,[],Released,,Harvey,FALSE,0,0,$754.00 ,
Henry: Portrait of a Serial Killer,FALSE,"{'id': 143755, 'name': 'Henry: Portrait of a Serial Killer Collection', 'poster_path': None, 'backdrop_path': None}",111000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,10692,tt0099763,en,"Henry likes to kill people, in different ways each time. Henry shares an apartment with Otis. When Otis' sister comes to stay, we see both sides of Henry: ""the guy next door"" and the serial killer.",10.072668,/jE9bDB7v7lMED5PWpPMsmc3SzlI.jpg,"[{'name': 'Maljack Productions', 'id': 11506}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9/24/1986,0,83,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The shocking true story of Henry Lee Lucas.,Henry: Portrait of a Serial Killer,FALSE,6.8,142,$320.00 ,
How to Talk to Girls at Parties,FALSE,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]",,341689,tt3859310,en,"A couple of British 1970s teen-aged boys, Enn and Vic, go to a party to meet girls, only to find that the girls are very different from the boys' expectations.",2.068008,/tyCt5dQ2yhfEtWcP3KqMgtFk7s0.jpg,"[{'name': 'HanWay Films', 'id': 2395}, {'name': 'See-Saw Films', 'id': 7217}, {'name': 'Little Punk', 'id': 82010}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/27/2017,0,102,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Some girls are out of this world.,How to Talk to Girls at Parties,FALSE,0,10,$472.00 ,
Hunt for the Wilderpeople,FALSE,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",http://wilderpeople.film,371645,tt4698684,en,"Ricky is a defiant young city kid who finds himself on the run with his cantankerous foster uncle in the wild New Zealand bush. A national manhunt ensues, and the two are forced to put aside their differences and work together to survive.",9.259371,/2wxvvnHKdZRB31Drf7PbRzPb0mR.jpg,"[{'name': 'Defender Films', 'id': 6510}, {'name': 'Piki Films', 'id': 76342}, {'name': 'Curious Film', 'id': 81364}]","[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}]",3/31/2016,0,101,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Nature just got gangster,Hunt for the Wilderpeople,FALSE,7.8,453,"$5,983.25 ",
I Am Not Your Negro,FALSE,,0,"[{'id': 99, 'name': 'Documentary'}]",http://www.magpictures.com/iamnotyournegro/,411019,tt5804038,en,"Working from the text of James Baldwin’s unfinished final novel, director Raoul Peck creates a meditation on what it means to be Black in the United States.",11.781919,/zwd0Zti7BvY1mO0mTPzM0fRrtc6.jpg,"[{'name': 'Magnolia Pictures', 'id': 1030}, {'name': 'Velvet Film', 'id': 1793}]","[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2/3/2017,0,95,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,I Am Not Your Negro,FALSE,8,87,"$9,954.25 ",
"I, Daniel Blake",FALSE,,0,"[{'id': 18, 'name': 'Drama'}]",http://www.idanielblake.co.uk/,374473,tt5168192,en,"A middle aged carpenter, who requires state welfare after injuring himself, is joined by a single mother in a similar scenario.",18.577504,/jJhqXTsAXCS46NhkYXBM7HDs8z8.jpg,"[{'name': 'Why Not Productions', 'id': 729}, {'name': 'Wild Bunch', 'id': 856}, {'name': 'Les Films Du Fleuve', 'id': 1926}, {'name': 'BFI', 'id': 5165}, {'name': 'BBC', 'id': 5996}, {'name': 'Sixteen Films', 'id': 12695}]","[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",10/21/2016,260354,100,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,"I, Daniel Blake",FALSE,7.7,264,"$1,142.75 ",
Indiana Jones and the Last Crusade,FALSE,"{'id': 84, 'name': 'Indiana Jones Collection', 'poster_path': '/lpxDrACKJhbbGOlwVMNz5YCj6SI.jpg', 'backdrop_path': '/6kh59mZizZsttZPR0HAdXk6Ve2n.jpg'}",48000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",http://www.indianajones.com/crusade,89,tt0097576,en,"When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life.",14.788987,/4p1N2Qrt8j0H8xMHMHvtRxv9weZ.jpg,"[{'name': 'Lucasfilm', 'id': 1}, {'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",5/24/1989,474171806,127,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'el', 'name': 'ελληνικά'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,"The man with the hat is back. And this time, he's bringing his Dad.",Indiana Jones and the Last Crusade,FALSE,7.6,3221,"$1,272.50 ",
Indignation,FALSE,,0,"[{'id': 18, 'name': 'Drama'}]",,340611,tt4193394,en,"In 1951, Marcus Messner, a working-class Jewish student from New Jersey, attends a small Ohio college, where he struggles with anti-Semitism, sexual repression, and the ongoing Korean War.",4.971211,/tAnm6pUTSkCxmvzfLWV4VJbHwSt.jpg,"[{'name': 'Likely Story', 'id': 1785}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7/29/2016,0,110,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Based on the novel by Philip Roth.,Indignation,FALSE,6.8,69,"$6,189.50 ",
Ixcanul,FALSE,,0,"[{'id': 18, 'name': 'Drama'}]",,320001,tt4135844,es,"María, a 17-year-old Kaqchikel Maya, lives with her parents on a coffee plantation at the foot of an active volcano. She is set to be married to the farm's foreman. But María longs to discover the world on the other side of the mountain, a place she cannot even imagine. And so she seduces a coffee-harvester who wants to escape to the USA. When this man leaves her behind, María discovers her own world and culture anew.",1.211958,/eAXXVyZmCK96tuVm6PvW7SOQ505.jpg,"[{'name': 'Tu Vas Voir Productions', 'id': 17469}, {'name': 'La Casa de Production', 'id': 79367}]","[{'iso_3166_1': 'GT', 'name': 'Guatemala'}, {'iso_3166_1': 'FR', 'name': 'France'}]",1/20/2015,0,100,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,,Volcano,FALSE,6.6,16,$573.50 ,
Jackie,FALSE,,9000000,"[{'id': 18, 'name': 'Drama'}]",http://www.foxsearchlight.com/jackie/,376866,tt1619029,en,"An account of the days of First Lady, Jacqueline Kennedy, in the immediate aftermath of John F. Kennedy's assassination in 1963.",8.362716,/iMkl2Akc1f4CSJCieVwczM4KjZR.jpg,"[{'name': 'Fox Searchlight Pictures', 'id': 43}, {'name': 'Why Not Productions', 'id': 729}, {'name': 'Wild Bunch', 'id': 856}, {'name': 'Protozoa Pictures', 'id': 7503}, {'name': 'Bliss Media', 'id': 8186}, {'name': 'LD Entertainment', 'id': 10285}, {'name': 'Fabula', 'id': 24459}, {'name': 'Endemol Shine Studios', 'id': 84751}, {'name': 'Jackie Productions (II)', 'id': 85768}]","[{'iso_3166_1': 'CL', 'name': 'Chile'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",12/2/2016,13960394,100,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,I want them to see what they have done to Jack.,Jackie,FALSE,6.5,737,"$15,612.25 ",
Jaws: The Revenge,FALSE,"{'id': 2366, 'name': 'The Jaws Collection', 'poster_path': '/fgraZdDCvAtBr0MHczmL6raonHd.jpg', 'backdrop_path': '/us13Po7SYoHl9wBNVcz04t0oh7F.jpg'}",23000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",,580,tt0093300,en,"After another deadly shark attack, Ellen Brody decides she has had enough of New England's Amity Island and moves to the Caribbean to join her son, Michael, and his family. But a great white shark has followed her there, hungry for more lives.",9.327986,/ssDizT0itTUaAdHoVrxRElo7Q1A.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7/17/1987,51881013,89,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"This time, it’s personal.",Jaws: The Revenge,FALSE,3.5,227,$88.00 ,
Jurassic Park,FALSE,"{'id': 328, 'name': 'Jurassic Park Collection', 'poster_path': '/qIm2nHXLpBBdMxi8dvfrnDkBUDh.jpg', 'backdrop_path': '/pJjIH9QN0OkHFV9eue6XfRVnPkr.jpg'}",63000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.jurassicpark.com/,329,tt0107290,en,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",8.863776,/c414cDeQ9b6qLPLeKmiJuLDUREJ.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6/11/1993,920100000,127,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,An adventure 65 million years in the making.,Jurassic Park,FALSE,7.6,4956,$528.00 ,
Kedi,FALSE,,0,"[{'id': 99, 'name': 'Documentary'}]",http://www.kedifilm.com,392011,tt4420704,tr,"A profile of an ancient city and its unique people, seen through the eyes of the most mysterious and beloved animal humans have ever known, the Cat.",3.469644,/5z2vuJk6P7V2azw3gWQF7L4l5xU.jpg,"[{'name': 'Oscilloscope Laboratories', 'id': 4748}, {'name': 'YouTube Red', 'id': 73091}]","[{'iso_3166_1': 'TR', 'name': 'Turkey'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2/10/2017,0,80,"[{'iso_639_1': 'tr', 'name': 'Türkçe'}]",Released,,Kedi,FALSE,7.4,21,"$8,334.50 ",
Killer of Sheep,FALSE,,100000,"[{'id': 18, 'name': 'Drama'}]",http://www.killerofsheep.com/,27432,tt0076263,en,"Stan works in drudgery at a slaughterhouse. His personal life is drab. Dissatisfaction and ennui keep him unresponsive to the needs of his adoring wife, and he must struggle against influences which would dishonor and endanger him and his family.",2.777856,/dpmgYmWzhRIDSXCDsW91Z2LxfuA.jpg,"[{'name': 'Milestone FIlms', 'id': 93224}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",11/14/1978,362222,83,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Killer of Sheep,FALSE,6.5,27,$178.75 ,
Labyrinth,FALSE,,25000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",,13597,tt0091369,en,"Frustrated with babysitting on yet another weekend night, Sarah - a teenager with an active imagination - summons the Goblins from her favourite book, ""Labyrinth"", to take the baby stepbrother away. When little Toby actually disappears, Sarah must follow him into the world of the fairytale to rescue him from the Goblin King!",13.009688,/40D6CVNGYbIgg7Sdt1jAYkFA08d.jpg,"[{'name': 'Lucasfilm', 'id': 1}, {'name': 'TriStar Pictures', 'id': 559}, {'name': 'Jim Henson Company, The', 'id': 6254}, {'name': 'Henson Associates (HA)', 'id': 24931}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",6/27/1986,12729917,101,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Where everything seems possible and nothing is what it seems.,Labyrinth,FALSE,7.1,618,"$1,256.00 ",
Labyrinth,FALSE,,20000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}]",,293238,tt1866570,de,"She inherits a house in the South of France from an aunt she has never met; she is haunted by dreams of a woman from the past, whom she does not know; and now she stumbles upon an archaeological find that will bear witness to a genocide committed 800 years ago on European soil, which will lead Alice Tanner to the secrets of the Holy Grail.",2.062354,/999xpV40rkHmdn069DHm9nJvo5X.jpg,[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'ZA', 'name': 'South Africa'}]",11/24/2012,0,180,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,,Labyrinth,FALSE,5.9,16,"$1,256.00 ",
Lady Macbeth,FALSE,,0,"[{'id': 18, 'name': 'Drama'}]",,410117,tt4291600,en,The passionate affair of a young woman trapped in a marriage of convenience unleashes a maelstrom of murder and mayhem on a country estate.,9.732026,/xWTJbhTwSTJmhLlX5xAOxPhdnXc.jpg,"[{'name': 'BBC Films', 'id': 288}, {'name': 'British Film Institute (BFI)', 'id': 7281}, {'name': 'Creative England', 'id': 64479}, {'name': 'iFeatures', 'id': 74150}, {'name': 'Sixty Six Pictures', 'id': 92473}, {'name': 'Oldgarth Media', 'id': 92474}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1/20/2017,923,89,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Lady Macbeth,FALSE,6.7,89,"$2,456.75 ",
Landline,FALSE,,0,"[{'id': 35, 'name': 'Comedy'}]",,419459,tt5737862,en,A teenager living with her sister and parents in Manhattan during the 1990s discovers that her father is having an affair.,1.811506,/p7RVsyi67S95RyNJjX99E1MaOsA.jpg,"[{'name': 'Magnolia Pictures', 'id': 1030}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7/21/2017,0,93,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,1995. When people were harder to reach.,Landline,FALSE,5.1,9,$531.00 ,
"Life, Animated",FALSE,,0,"[{'id': 16, 'name': 'Animation'}, {'id': 99, 'name': 'Documentary'}]",http://www.lifeanimateddoc.com/,376233,tt3917210,en,"At three years old, a chatty, energetic little boy named Owen Suskind ceased to speak, disappearing into autism with apparently no way out. Almost four years passed and the only stimuli that engaged Owen were Disney films. Then one day, his father donned a puppet—Iago, the wisecracking parrot from Aladdin—and asked “what’s it like to be you?” And poof! Owen replied, with dialogue from the movie. Life, Animated tells the remarkable story of how Owen found in Disney animation a pathway to language and a framework for making sense of the world.",2.395349,/tV8PHaYPXDINuwIHH5k9qmqdLfA.jpg,"[{'name': 'A&E IndieFilms', 'id': 7315}, {'name': 'Motto Pictures', 'id': 10978}, {'name': 'Roger Ross Williams Productions', 'id': 72627}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",3/3/2016,0,91,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"When he fell into silence, movies gave him back his voice","Life, Animated",FALSE,7.9,49,"$1,708.00 ",
Lion,FALSE,,12000000,"[{'id': 18, 'name': 'Drama'}]",http://lionmovie.com/,334543,tt3741834,en,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family.",17.085145,/iBGRbLvg6kVc7wbS8wDdVHq6otm.jpg,"[{'name': 'The Weinstein Company', 'id': 308}, {'name': 'See-Saw Films', 'id': 7217}, {'name': 'Screen Australia', 'id': 7584}, {'name': 'Aquarius Films', 'id': 13786}, {'name': 'Sunstar Entertainment', 'id': 50501}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",11/24/2016,140302754,118,"[{'iso_639_1': 'bn', 'name': 'বাংলা'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,The search begins,Lion,FALSE,8,1699,"$6,211.50 ",
Little Men,FALSE,,0,[],,209345,tt0145048,en,"In this adaptation of the classic novel by Louisa May Alcott, two street kids from Boston find themselves at Plumfield, a rural boarding school run by Jo and her husband -- and they soon learn academic and life lessons they won't ever forget.",0.004228,/yMwfDCb8UjET9c26N0FadH6dJbH.jpg,[],[],5/8/1998,0,98,[],Released,,Little Men,FALSE,0,0,$431.00 ,
Little Men,FALSE,,0,"[{'id': 18, 'name': 'Drama'}]",,373473,tt4919484,en,"Jake is a quiet, sensitive middle schooler with dreams of being an artist. He meets the affably brash Tony at his grandfather's funeral, and the unlikely pair soon hit it off. The budding friendship is put at risk, however, when a rent dispute between Jake's father, Brian, and Tony's mother, Leonor, threatens to become contentious.",2.624004,/vOInh2NRemhAo5mSZLDRil4o1Zp.jpg,"[{'name': 'Faliro House Productions', 'id': 19246}, {'name': 'Charlie Guidance', 'id': 45004}, {'name': 'Race Point Films', 'id': 88370}]","[{'iso_3166_1': 'GR', 'name': 'Greece'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'BR', 'name': 'Brazil'}]",8/5/2016,0,85,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Be on each other's side,Little Men,FALSE,6.7,47,$431.00 ,
Lo and Behold: Reveries of the Connected World,FALSE,,0,"[{'id': 99, 'name': 'Documentary'}]",,360030,tt5275828,en,Werner Herzog's exploration of the Internet and the connected world.,4.167907,/ecz0Dz5IP9Ouk7Ta4WCOM7TxXua.jpg,"[{'name': 'Saville Productions', 'id': 73620}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/4/2016,0,98,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The human side of the digital revolution.,Lo and Behold: Reveries of the Connected World,FALSE,6.5,76,$742.50 ,
