,ID,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons,BoxOfficeNew
276,0,"Agnès Varda, JR, Jeannine Carpentier, Clemens Van Dungern",Nominated for 1 Oscar. Another 32 wins & 31 nominations.,"$900,903 ",France,6-Mar-18,"JR, Agnès Varda",Documentary,French,94,Director Agnes Varda and photographer/muralist J.R. journey through rural France and form an unlikely friendship.,https://m.media-amazon.com/images/M/MV5BMmUwMzJkODEtOTZjNy00ZWNkLWE4ZDItYzcyYzA2OGJhMjYwXkEyXkFqcGdeQXVyNjc0MzY3NTA@._V1_SX300.jpg,Cohen Media Group,PG,"{'Source': 'Internet Movie Database', 'Value': '7.9/10'}",28-Jun-17,TRUE,94 min,Faces Places,movie,http://cohenmedia.net/films/faces-places,"JR, Agnès Varda",2017,tt5598102,7.9,"8,684",,953717
279,0,"Kristina Adolphson, Börje Ahlstedt, Pernilla Allwin, Kristian Almgren",Won 4 Oscars. Another 19 wins & 10 nominations.,,"Sweden, France, West Germany",16-Nov-04,Ingmar Bergman,Drama,"Swedish, German, Yiddish, English, French",100,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",https://m.media-amazon.com/images/M/MV5BZmQzMDE5ZWQtOTU3ZS00ZjdhLWI0OTctZDNkODk4YThmOTRhL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Embassy Pictures Corporation,R,"{'Source': 'Internet Movie Database', 'Value': '8.1/10'}",17-Dec-82,TRUE,188 min,Fanny and Alexander,movie,,Ingmar Bergman,1982,tt0083922,8.1,"52,874",,6783304
282,0,"Annette Bening, Jamie Bell, Kenneth Cranham, Julie Walters",Nominated for 3 BAFTA Film Awards. Another 2 wins & 12 nominations.,,UK,24-Apr-18,Paul McGuigan,"Biography, Drama, Romance",English,65,A romance sparks between a young actor and a Hollywood leading lady.,https://m.media-amazon.com/images/M/MV5BMTE0MDQxODg2NTJeQTJeQWpwZ15BbWU4MDIwODkyMjQz._V1_SX300.jpg,Sony Pictures Classics,R,"{'Source': 'Internet Movie Database', 'Value': '6.7/10'}",16-Nov-17,TRUE,105 min,Film Stars Don't Die in Liverpool,movie,http://sonyclassics.com/filmstarsdontdieinliverpool/,"Matt Greenhalgh (screenplay), Peter Turner (based on the memoir by)",2017,tt5711148,6.7,"6,869",,1026124
285,0,"Leon Vitali, Ryan O'Neal, Brian Capron, Mike Alfreds",1 nomination.,,USA,,Tony Zierra,"Documentary, Biography",English,73,A documentary about how English actor Leon Vitali came to work as an assistant to American filmmaker Stanley Kubrick for over 30 years.,https://m.media-amazon.com/images/M/MV5BNTgwNzIxNmUtMTZiMi00MzJlLTk4ZmQtY2E0YjRmMWNkOTlhXkEyXkFqcGdeQXVyMjI3NDAyNg@@._V1_SX300.jpg,Kino Lorber,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '7.5/10'}",1-Nov-19,TRUE,94 min,Filmworker,movie,http://filmworker.com/,,2017,tt6851066,7.5,"1,930",,102609
288,0,"Ryan Gosling, Claire Foy, Jason Clarke, Kyle Chandler",,,"USA, Japan",22-Jan-19,Damien Chazelle,"Biography, Drama, History",English,84,"A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969.",https://m.media-amazon.com/images/M/MV5BMDBhOTMxN2UtYjllYS00NWNiLWE1MzAtZjg3NmExODliMDQ0XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_SX300.jpg,Universal Pictures,PG-13,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",12-Oct-18,TRUE,141 min,First Man,movie,http://www.firstman.com,"Josh Singer (screenplay by), James R. Hansen (based on the book by)",2018,tt1213641,7.3,"131,101",,44936545
291,0,"Ethan Hawke, Amanda Seyfried, Cedric the Entertainer, Victoria Hill",1 win & 1 nomination.,,"USA, UK, Australia",21-Aug-18,Paul Schrader,"Drama, Mystery, Thriller",English,85,"A minister of a small congregation in upstate New York grapples with mounting despair brought on by tragedy, worldly concerns and a tormented past.",https://m.media-amazon.com/images/M/MV5BZDI1MGIyZDMtYjAyMy00ZWE1LTgzYjctYzM5MzczNjFjZWQwXkEyXkFqcGdeQXVyODQyNzE3MDg@._V1_SX300.jpg,A24,R,"{'Source': 'Internet Movie Database', 'Value': '7.1/10'}",18-May-18,TRUE,113 min,First Reformed,movie,,Paul Schrader,2017,tt6053438,7.1,"36,364",,3448256
294,0,"Jennifer Beals, Michael Nouri, Lilia Skala, Sunny Johnson",Won 1 Oscar. Another 10 wins & 14 nominations.,,USA,8-Oct-02,Adrian Lyne,"Drama, Music, Romance",English,39,A Pittsburgh woman with two jobs as a welder and an exotic dancer wants to get into ballet school.,https://m.media-amazon.com/images/M/MV5BMjA5NjE2OTUxOF5BMl5BanBnXkFtZTgwNDE1NDIxMDE@._V1_SX300.jpg,Paramount Home Video,R,"{'Source': 'Internet Movie Database', 'Value': '6.2/10'}",15-Apr-83,TRUE,95 min,Flashdance,movie,,"Thomas Hedley Jr. (screenplay), Joe Eszterhas (screenplay), Thomas Hedley Jr. (story)",1983,tt0085549,6.2,"43,444",,92921203
297,0,"Ennosuke Ichikawa IV, Kiichi Nakai, Mansai Nomura, Kuranosuke Sasaki",1 nomination.,,Japan,,Tetsuo Shinohara,Drama,Japanese,,"How about conducting battle, but with flowers in lieu of weapons? There were monks who did ikebana, or Japanese flower arrangement, following a war. There was once an actually famous monk ...",https://ia.media-imdb.com/images/M/MV5BZGMxODQzN2ItYWQzMS00Zjg0LTgwM2MtM2U3MWI0OTc4NmEzXkEyXkFqcGdeQXVyNTE0NzEzOTc@._V1_SX300.jpg,,,"{'Source': 'Internet Movie Database', 'Value': '6.5/10'}",3-Jun-17,TRUE,127 min,Flower and Sword,movie,,"Tadashi Onitsuka (based on the novel by), Yoshiko Morishita (screenplay)",2017,tt5493172,6.5,30,,
298,0,"Riccardo Leonelli, Agnieszka Grochowska, Agata Buzek, Weronika Rosati",3 nominations.,,"Poland, Italy, Russia",,Krzysztof Zanussi,"Drama, Romance","Polish, English, Italian, Russian",,Angelo and Kasia met in Italy in the Focolare Movement where their love and faith in God brought them together. Their relationship's in broken by the girl's return to Poland and her ...,https://m.media-amazon.com/images/M/MV5BNDQ1NGFiMGMtY2YxYy00OTBlLTk5M2YtYTg2M2MwZmE5NmJjXkEyXkFqcGdeQXVyMTc4MzI2NQ@@._V1_SX300.jpg,,,"{'Source': 'Internet Movie Database', 'Value': '4.6/10'}",5-Dec-14,TRUE,117 min,Foreign Body,movie,,"Krzysztof Zanussi (script by), Krzysztof Zanussi",2014,tt3997248,4.6,229,,
299,0,"Pierre Niney, Paula Beer, Ernst Stötzner, Marie Gruber",4 wins & 33 nominations.,"$880,474 ","France, Germany",13-Jun-18,François Ozon,"Drama, History, Romance, War","French, German",73,"In the aftermath of WWI, a young German who grieves the death of her fiancé in France meets a mysterious Frenchman who visits the fiancé's grave to lay flowers.",https://m.media-amazon.com/images/M/MV5BZmM3MDE2MmEtY2NhNS00MTQyLWFhNzMtZThiZjM1ZmNiNzM4XkEyXkFqcGdeQXVyNDU0NjMyNTQ@._V1_SX300.jpg,Music Box Films,PG-13,"{'Source': 'Internet Movie Database', 'Value': '7.5/10'}",15-Mar-17,TRUE,113 min,Frantz,movie,http://www.musicboxfilms.com/frantz,"François Ozon (scenario), Philippe Piazzo (in collaboration with), Ernst Lubitsch (movie ""Broken Lullaby"")",2016,tt5029608,7.5,"10,975",,9025
302,0,"Alex Honnold, Tommy Caldwell, Jimmy Chin, Cheyne Lempe",,,USA,12-Feb-19,"Jimmy Chin, Elizabeth Chai Vasarhelyi","Documentary, Sport",English,83,Alex Honnold attempts to become the first person to ever free solo climb El Capitan.,https://m.media-amazon.com/images/M/MV5BMjMwYjcwNWQtNTQ5YS00MzVlLTkxYzMtNDIwZWIxZTE4Zjg2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Greenwich Entertainment,PG-13,"{'Source': 'Internet Movie Database', 'Value': '8.2/10'}",14-Dec-18,TRUE,100 min,Free Solo,movie,http://www.nationalgeographic.com/films/free-solo/,,2018,tt7775622,8.2,"38,416",,17541090
305,0,"Duane Jones, Marlene Clark, Bill Gunn, Sam L. Waymon",,,USA,14-Jul-98,Bill Gunn,"Drama, Fantasy, Horror",English,,"After being stabbed with an ancient, germ-infested knife, a doctor's assistant finds himself with an insatiable desire for blood.",https://m.media-amazon.com/images/M/MV5BMTgxNjI5OTI1NF5BMl5BanBnXkFtZTgwNTI2OTY0NTM@._V1_SX300.jpg,Kelly/Jordan Enterprises,R,"{'Source': 'Internet Movie Database', 'Value': '6.2/10'}",20-Apr-73,TRUE,110 min,Ganja & Hess,movie,,Bill Gunn,1973,tt0068619,6.2,999,,21197
307,0,"Ethan Hawke, Uma Thurman, Gore Vidal, Xander Berkeley",Nominated for 1 Oscar. Another 6 wins & 14 nominations.,,USA,5-May-98,Andrew Niccol,"Drama, Sci-Fi, Thriller","English, Esperanto",64,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,https://m.media-amazon.com/images/M/MV5BNDQxOTc0MzMtZmRlOS00OWQ5LWI2ZDctOTAwNmMwOTYxYzlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Columbia Pictures,PG-13,"{'Source': 'Internet Movie Database', 'Value': '7.8/10'}",24-Oct-97,TRUE,106 min,Gattaca,movie,,Andrew Niccol,1997,tt0119177,7.8,"263,345",,12532777
310,0,"Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford",Won 1 Oscar. Another 122 wins & 181 nominations.,"$175,428,355 ","USA, Japan",23-May-17,Jordan Peele,"Horror, Mystery, Thriller",English,84,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",https://m.media-amazon.com/images/M/MV5BMjUxMDQwNjcyNl5BMl5BanBnXkFtZTgwNzcwMzc0MTI@._V1_SX300.jpg,Universal Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '7.7/10'}",24-Feb-17,TRUE,104 min,Get Out,movie,http://www.getoutfilm.com/,Jordan Peele,2017,tt5052448,7.7,"416,862",,176040665
313,0,"Andy Nyman, Martin Freeman, Paul Whitehouse, Alex Lawther",,,UK,4-Sep-18,"Jeremy Dyson, Andy Nyman","Drama, Horror",English,68,Skeptical professor Phillip Goodman embarks on a trip to the terrifying after being given a file with details of three unexplained cases of apparitions.,https://m.media-amazon.com/images/M/MV5BMTA4OWQ0NGYtNDgxNC00MzI4LTgzNzktYzAxMDcyMGI3OTFmXkEyXkFqcGdeQXVyNTIyODMzMzA@._V1_SX300.jpg,IFC Midnight,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '6.4/10'}",20-Apr-18,TRUE,98 min,Ghost Stories,movie,,"Jeremy Dyson, Andy Nyman, Jeremy Dyson (stage play), Andy Nyman (stage play)",2017,tt5516328,6.4,"24,804",,148747
316,0,"Josh Wiggins, Darren Mann, Taylor Hickson, Maria Bello",,,Canada,,Keith Behrman,Drama,English,67,"Two popular teen boys, best friends since childhood, discover their lives, families, and girlfriends dramatically upended after an unexpected incident occurs on the night of a 17th birthday party.",https://m.media-amazon.com/images/M/MV5BZTEzOTY4YTUtYjZjZC00Mjc0LTlmMzMtM2Q4N2YyNWVmM2EzXkEyXkFqcGdeQXVyODk0OTcwMTk@._V1_SX300.jpg,,R,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",3-Jan-19,TRUE,93 min,Giant Little Ones,movie,,Keith Behrman,2018,tt4481066,7.2,"2,330",,181507
318,0,"Iggy Pop, Jim Jarmusch, Bob Waller, The Stooges",1 win & 4 nominations.,"$439,748 ",USA,31-Jan-17,Jim Jarmusch,"Documentary, Music",English,72,"An in-depth look at the legendary punk band, The Stooges.",https://m.media-amazon.com/images/M/MV5BMTYyOTc5NzI4Ml5BMl5BanBnXkFtZTgwMjIwNzczMDI@._V1_SX300.jpg,Low Mind Films,R,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",5-Aug-16,TRUE,108 min,Gimme Danger,movie,http://www.gimmedangermovie.com/,Jim Jarmusch,2016,tt1714917,7.2,"4,126",,440627
321,0,"Karidja Touré, Assa Sylla, Lindsay Karamoh, Mariétou Touré",11 wins & 21 nominations.,"$60,019 ",France,19-May-15,Céline Sciamma,Drama,French,85,"A girl with few real prospects joins a gang, reinventing herself and gaining a sense of self confidence in the process. However, she soon finds that this new life does not necessarily make her any happier.",https://m.media-amazon.com/images/M/MV5BMjA5MDM1ODE5NV5BMl5BanBnXkFtZTgwNjg0MTk5MzE@._V1_SX300.jpg,Strand Releasing,Unrated,"{'Source': 'Internet Movie Database', 'Value': '6.9/10'}",22-Oct-14,TRUE,113 min,Girlhood,movie,http://strandreleasing.com/films/girlhood/,Céline Sciamma (screenplay),2014,tt3655522,6.9,"6,707",,60765
324,0,"Grace Jones, Jean-Paul Goude, Sly & Robbie",,,"Ireland, UK",,Sophie Fiennes,"Documentary, Music","English, French",75,"Larger than life, wild, scary and androgynous - Grace Jones plays all these parts. Yet here we also discover her as a lover, daughter, mother, sister and even grandmother, as she submits ...",https://m.media-amazon.com/images/M/MV5BMDJlMTlmYjAtYTlhOS00MGRkLWI0YWUtNzYzOTJiODBmOTc2XkEyXkFqcGdeQXVyMjI3NDAyNg@@._V1_SX300.jpg,Kino Lorber,,"{'Source': 'Internet Movie Database', 'Value': '6.1/10'}",13-Apr-18,TRUE,115 min,Grace Jones: Bloodlight and Bami,movie,,,2017,tt6903636,6.1,757,,375208
327,0,"John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway",Nominated for 1 Oscar. Another 3 wins & 7 nominations.,,USA,24-Sep-02,Randal Kleiser,"Musical, Romance",English,70,"Good girl Sandy and greaser Danny fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?",https://m.media-amazon.com/images/M/MV5BZmUyMDEyOTgtZmUwOS00NTdkLThlNzctNTM1ODQ4M2VhMjdhXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Paramount Pictures,PG-13,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",16-Jun-78,TRUE,110 min,Grease,movie,,"Jim Jacobs (based on the original musical by), Warren Casey (based on the original musical by), Bronte Woodard (screenplay by), Allan Carr (adaptation)",1978,tt0077631,7.2,"213,811",,15171476
330,0,"Hoyt Axton, John Louie, Keye Luke, Don Steele",7 wins & 6 nominations.,,USA,22-Jun-99,Joe Dante,"Comedy, Fantasy, Horror","English, Spanish",70,A boy inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.,https://m.media-amazon.com/images/M/MV5BZDVjN2FkYTQtNTBlOC00MjM5LTgzMWEtZWRlNGUyYmNiOTFiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Warner Bros. Pictures,PG,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",8-Jun-84,TRUE,106 min,Gremlins,movie,,Chris Columbus,1984,tt0087363,7.2,"179,956",,41482207
333,0,"Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky",Won 1 BAFTA Film Award. Another 6 wins & 17 nominations.,,USA,29-Jan-02,Harold Ramis,"Comedy, Fantasy, Romance","English, French, Italian",72,A weatherman finds himself inexplicably living the same day over and over again.,https://m.media-amazon.com/images/M/MV5BZWIxNzM5YzQtY2FmMS00Yjc3LWI1ZjUtNGVjMjMzZTIxZTIxXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Columbia Pictures,PG,"{'Source': 'Internet Movie Database', 'Value': '8.0/10'}",12-Feb-93,TRUE,101 min,Groundhog Day,movie,,"Danny Rubin (screenplay), Harold Ramis (screenplay), Danny Rubin (story)",1993,tt0107048,8,"547,120",,70906973
336,0,"Aleksandra Cwen, Celina Peter, Claudia Martini, Tanja Petrovsky",,,"Austria, Germany",,Lukas Feigelfeld,"Drama, Horror",German,72,Paranoia & Superstition in 15th Century Europe.,https://m.media-amazon.com/images/M/MV5BNDZkMjEzZDMtMDU5ZS00YzY5LWFkMTgtYTcwNzY1MWIxN2Q3XkEyXkFqcGdeQXVyNDU0NjMyNTQ@._V1_SX300.jpg,,,"{'Source': 'Internet Movie Database', 'Value': '5.9/10'}",19-Apr-19,TRUE,102 min,Hagazussa,movie,,Lukas Feigelfeld,2017,tt7323600,5.9,"2,151",,13253
338,0,"Jex Blackmore, Chalice Blythe, Nicholas Crowe, Sal De Ciccio",,,USA,,Penny Lane,Documentary,English,76,A look at the quick rise and influence of the controversial religious group known as The Satanic Temple.,https://m.media-amazon.com/images/M/MV5BMjRlNGY2MTUtYzNmZi00ZDRjLWFjNWQtOWJjZDZjMDhmMDAyXkEyXkFqcGdeQXVyMzQyMzAxNjg@._V1_SX300.jpg,Magnolia Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",17-Apr-19,TRUE,95 min,Hail Satan?,movie,https://www.hailsatanfilm.com/,,2019,tt9358044,7.2,"1,921",,424284
341,0,"Jessica Rothe, Israel Broussard, Ruby Modine, Charles Aitken",1 nomination.,"$55,398,005 ",USA,16-Jan-18,Christopher Landon,"Horror, Mystery, Thriller",English,58,"A college student must relive the day of her murder over and over again, in a loop that will end only when she discovers her killer's identity.",https://m.media-amazon.com/images/M/MV5BYzZhY2E5NzQtMWVmNC00YmEzLTgxZDMtNjE2YmQ4ZTZiZGZjXkEyXkFqcGdeQXVyODQxMTI4MjM@._V1_SX300.jpg,Universal Studios,PG-13,"{'Source': 'Internet Movie Database', 'Value': '6.5/10'}",13-Oct-17,TRUE,96 min,Happy Death Day,movie,http://www.happydeathdaymovie.com/,Scott Lobdell,2017,tt5308322,6.5,"92,488",,28051045
344,0,"Leonid Yarmolnik, Aleksandr Chutko, Yuriy Tsurilo, Evgeniy Gerchakov",10 wins & 11 nominations.,,Russia,30-Jun-15,Aleksey German,"Drama, Sci-Fi",Russian,90,"A group of scientists are sent to the planet Arkanar to help the local civilization, which is in the Medieval phase of its own history, to find the right path to progress. Their task is a ...",https://m.media-amazon.com/images/M/MV5BMjAwMzEyMjUyNl5BMl5BanBnXkFtZTgwMTQ2NTUwNDE@._V1_SX300.jpg,Kino Lorber,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '6.7/10'}",27-Feb-14,TRUE,177 min,Hard to Be a God,movie,http://www.kinolorber.com/film.php?id=1918,"Arkadiy Strugatskiy (novel), Boris Strugatskiy (novel), Aleksey German (adaptation), Svetlana Karmalita (adaptation)",2013,tt2328813,6.7,"4,152",,28608
347,0,"Wallace Ford, William H. Lynn, Victoria Horne, Jesse White",Won 1 Oscar. Another 1 win & 4 nominations.,,USA,6-Feb-01,Henry Koster,"Comedy, Drama, Fantasy","English, Spanish, Latin",,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.",https://m.media-amazon.com/images/M/MV5BMzg2YTFkNjgtM2ZkNS00MWVkLWIwMTEtZTgzMDM2MmUxNDE2XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,MCA Universal Home Video,Approved,"{'Source': 'Internet Movie Database', 'Value': '8.0/10'}",21-Dec-50,TRUE,104 min,Harvey,movie,,"Mary Chase (from the Pulitzer Prize Play by), Mary Chase (screenplay), Oscar Brodney (screenplay)",1950,tt0042546,8,"50,238",,14889042
349,0,"Changlong Zhu, Kai Cao, Jian Liu, Siming Yang",4 wins & 8 nominations.,,China,,Jian Liu,"Animation, Comedy, Crime, Drama",Mandarin,77,A city in southern China and a bag containing a million yuan draw several people from diverse backgrounds with different personal motives into a bloody conflict.,https://m.media-amazon.com/images/M/MV5BZDExYTVjOTAtNDZkMC00ODgxLTk0YmMtOGYzNmU3ZGQ1OWVmXkEyXkFqcGdeQXVyNTQwMDA5NTg@._V1_SX300.jpg,,,"{'Source': 'Internet Movie Database', 'Value': '6.5/10'}",12-Jan-18,TRUE,77 min,Have a Nice Day,movie,,Jian Liu,2017,tt6451304,6.5,"1,354",,79393
351,0,"Mary Demas, Michael Rooker, Anne Bartoletti, Elizabeth Kaden",9 wins & 8 nominations.,,USA,17-Nov-98,John McNaughton,"Biography, Crime, Drama, Horror, Thriller",English,80,"Henry, a drifter, commits a series of brutal murders, supposedly operating with impunity.",https://m.media-amazon.com/images/M/MV5BM2VjMDkzMTUtMDZjZi00YzFlLWE2MzYtNjVhNTkwYzU0YmNkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,GreyCat Films,Unrated,"{'Source': 'Internet Movie Database', 'Value': '7.0/10'}",7-Sep-90,TRUE,83 min,Henry: Portrait of a Serial Killer,movie,,"Richard Fire, John McNaughton",1986,tt0099763,7,"28,817",,609939
354,0,"Alex Wolff, Gabriel Byrne, Toni Collette, Milly Shapiro",,,USA,4-Sep-18,Ari Aster,"Drama, Horror, Mystery, Thriller","English, Spanish",87,"After the family matriarch passes away, a grieving family is haunted by tragic and disturbing occurrences, and begin to unravel dark secrets.",https://m.media-amazon.com/images/M/MV5BOTU5MDg3OGItZWQ1Ny00ZGVmLTg2YTUtMzBkYzQ1YWIwZjlhXkEyXkFqcGdeQXVyNTAzMTY4MDA@._V1_SX300.jpg,Windy Hill Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",8-Jun-18,TRUE,127 min,Hereditary,movie,http://hereditary.movie/,Ari Aster,2018,tt7784604,7.3,"167,889",,44069456
357,0,"Robert Pattinson, Juliette Binoche, André Benjamin, Mia Goth",,,"UK, France, Germany, Poland, USA",25-Jun-19,Claire Denis,"Adventure, Drama, Mystery, Sci-Fi",English,77,A father and his daughter struggle to survive in deep space where they live in isolation.,https://m.media-amazon.com/images/M/MV5BMDNjN2NjYmItMjAyZi00NmNkLWJmYTQtYzcwZGRiM2RmNGNlXkEyXkFqcGdeQXVyODUxNjcxNjE@._V1_SX300.jpg,A24,R,"{'Source': 'Internet Movie Database', 'Value': '5.9/10'}",12-Apr-19,TRUE,113 min,High Life,movie,,"Claire Denis, Jean-Pol Fargeau, Geoff Cox (collaboration), Andrew Litvack (additional writing), Nick Laird (additional writing by)",2018,tt4827558,5.9,"14,560",,1225852
360,0,"Ving Rhames, Alfre Woodard, Jesika Reynolds, Mykelti Williamson",Nominated for 1 Golden Globe. Another 12 nominations.,,USA,29-May-01,Robert Townsend,Drama,English,,A drag queen takes in a drug addict and her daughter and helps raise the daughter.,https://m.media-amazon.com/images/M/MV5BMTMzMjM3NzE2OF5BMl5BanBnXkFtZTcwNTQ4MzYxMQ@@._V1_SX300.jpg,Unknown,R,"{'Source': 'Internet Movie Database', 'Value': '7.7/10'}",10-Dec-00,TRUE,100 min,Holiday Heart,movie,,"Cheryl L. West (teleplay), Cheryl L. West (play)",2000,tt0250425,7.7,"1,014",,
361,0,"Timothée Chalamet, Maika Monroe, Alex Roe, Emory Cohen",2 nominations.,,USA,25-Sep-18,Elijah Bynum,"Comedy, Crime, Drama, Romance",English,44,"In the summer of 1991, a sheltered teenage boy comes of age during a wild summer he spends in Cape Cod getting rich from selling pot to gangsters, falling in love for the first time, partying and eventually realizing that he is in over his head.",https://m.media-amazon.com/images/M/MV5BYWEzZDI3NTQtYmFlZi00N2QxLTk0MmYtMThjYjlmZmRlMmVjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,A24,R,"{'Source': 'Internet Movie Database', 'Value': '6.4/10'}",27-Jul-18,TRUE,107 min,Hot Summer Nights,movie,http://hotsummernights-movie.com/,Elijah Bynum,2017,tt3416536,6.4,"8,484",,
364,0,"Ju-bong Gi, Min-hee Kim, Hae-hyo Kwon, Seon-mi Song",,,South Korea,,Sang-soo Hong,Drama,Korean,79,It is the dead of winter and a poet invites his sons to join him at a hotel for a reunion. The hotel also hosts a newly single woman who has a friend keep her company and with whom she ...,https://m.media-amazon.com/images/M/MV5BODM1NzlhNTYtZDQxZi00MmVhLTlmNTMtYjA2ZTg4YTRiZjAwXkEyXkFqcGdeQXVyMTg5MDEyNw@@._V1_SX300.jpg,Cinema Guild,,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",15-Feb-19,TRUE,96 min,Hotel by the River,movie,http://www.cinemaguild.com/theatrical/hotel.html,Sang-soo Hong,2018,tt8725958,6.8,341,,28354
367,0,"Elle Fanning, Alex Sharp, Nicole Kidman, Matt Lucas",3 nominations.,,"UK, USA",14-Aug-18,John Cameron Mitchell,"Comedy, Music, Romance, Sci-Fi",English,50,An alien touring the galaxy breaks away from her group and meets two young inhabitants of the most dangerous place in the universe: the London suburb of Croydon.,https://m.media-amazon.com/images/M/MV5BMWZkYTllMjctM2E0ZS00NTNjLWE2YjQtODY4YWZjMDJiODVhXkEyXkFqcGdeQXVyNTAzMTY4MDA@._V1_SX300.jpg,A24,R,"{'Source': 'Internet Movie Database', 'Value': '5.7/10'}",25-May-18,TRUE,102 min,How to Talk to Girls at Parties,movie,http://htttgap.movie,"Philippa Goslett (screenplay by), John Cameron Mitchell (screenplay by), Neil Gaiman (based on the short story by)",2017,tt3859310,5.7,"7,808",,84809
370,0,"Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House",20 wins & 25 nominations.,"$5,202,582 ",New Zealand,27-Sep-16,Taika Waititi,"Adventure, Comedy, Drama",English,81,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,https://m.media-amazon.com/images/M/MV5BMjI1MDQ2MDg5Ml5BMl5BanBnXkFtZTgwMjc2NjM5ODE@._V1_SX300.jpg,Piki Films,PG-13,"{'Source': 'Internet Movie Database', 'Value': '7.9/10'}",31-Mar-16,TRUE,101 min,Hunt for the Wilderpeople,movie,http://wilderpeople.film/,"Taika Waititi (screenplay), Barry Crump (based on the book ""Wild Pork and Watercress"" written by), Te Arepa Kahi (additional writing)",2016,tt4698684,7.9,"89,826",,5205468
373,0,"Sergio Corrieri, Salvador Wood, José Gallardo, Raúl García",2 wins & 1 nomination.,,"Cuba, Soviet Union",18-Jan-00,Mikhail Kalatozov,"Drama, History, War","Spanish, English",,Four vignettes about the lives of the Cuban people set during the pre-revolutionary era.,https://m.media-amazon.com/images/M/MV5BMTQyNDQ2MzQ5Nl5BMl5BanBnXkFtZTgwNDU5MjcyMTE@._V1_SX300.jpg,,,"{'Source': 'Internet Movie Database', 'Value': '8.0/10'}",1-Dec-95,TRUE,108 min,I Am Cuba,movie,,"Enrique Pineda Barnet, Evgeniy Evtushenko",1964,tt0058604,8,"6,937",,168100
375,0,"Benfors 'Wee Do, Boyd Banda, Kalundu Banda, Boniventure",Won 1 BAFTA Film Award. Another 8 wins & 19 nominations.,,"UK, France, Germany, Zambia",,Rungano Nyoni,Drama,"English, Nyanja, Bemba, Tonga",80,"Following a banal incident in her local village, 8-year old girl Shula is accused of witchcraft. After a short trial she is found guilty, taken into state custody and exiled to a witch camp...",https://m.media-amazon.com/images/M/MV5BMmZiMmEzMzAtYzhiZi00NjMwLWJmNzMtMjRkNTI2YTM5N2FiXkEyXkFqcGdeQXVyNTkyMjQwNw@@._V1_SX300.jpg,Film Movement,,"{'Source': 'Internet Movie Database', 'Value': '6.9/10'}",7-Sep-18,TRUE,93 min,I Am Not a Witch,movie,,Rungano Nyoni,2017,tt6213284,6.9,"2,169",,50868
